name,profile_url,weight_class,wins,losses,draws,SLpM,str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,rank
Shinsho,http://ufcstats.com/fighter-details/4665f9f909cd7214,"70.0""",10,3,0,3.23,58.0,3.75,45.0,1.83,16.0,75.0,0.0,
Jin,http://ufcstats.com/fighter-details/031da10a00c8ccd4,"68.0""",14,6,1,1.6,29.0,5.8,51.0,0.0,0.0,71.0,0.0,
Shinya,http://ufcstats.com/fighter-details/79ded75550efc139,--,39,7,0,0.97,58.0,1.25,58.0,2.54,41.0,60.0,4.0,
,http://ufcstats.com/fighter-details/7d420039bbfe7c1a,"69.0""",26,12,0,4.69,49.0,5.47,48.0,1.2,46.0,58.0,0.0,
Josh,http://ufcstats.com/fighter-details/0c1a04afca64e38f,--,15,7,0,1.35,40.0,11.5,32.0,0.0,0.0,33.0,0.0,
Erik,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb,--,10,3,0,0.0,0.0,0.54,81.0,0.0,0.0,0.0,8.1,
Kenji,http://ufcstats.com/fighter-details/269d103c96a4c3a5,--,15,15,5,8.79,27.0,10.29,39.0,0.0,0.0,0.0,0.0,
Romie,http://ufcstats.com/fighter-details/73ef22f25d0f70e2,--,7,1,0,1.8,35.0,2.83,50.0,2.5,62.0,83.0,0.0,
Felipe,http://ufcstats.com/fighter-details/71002dbc1743b9a7,"73.0""",18,10,1,2.37,45.0,2.66,64.0,0.93,47.0,41.0,0.7,
Igor,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d,"77.0""",25,9,0,1.52,42.0,2.86,49.0,0.86,15.0,22.0,0.6,
Viviane,http://ufcstats.com/fighter-details/36541f1e6c5d4955,"68.0""",13,7,0,3.84,47.0,4.83,55.0,1.72,43.0,75.0,0.6,
Julio,http://ufcstats.com/fighter-details/1291edf2d566a71a,"70.0""",19,6,0,4.36,36.0,3.05,68.0,0.46,28.0,96.0,0.3,
Art,http://ufcstats.com/fighter-details/d25e39e74efb0a77,--,15,7,0,1.53,46.0,2.73,51.0,0.0,0.0,50.0,1.0,
Alice,http://ufcstats.com/fighter-details/87f8699fdcc2c404,"62.0""",11,7,0,7.35,45.0,5.2,62.0,1.0,44.0,85.0,0.0,
Tristan,http://ufcstats.com/fighter-details/9c9455912d917e4e,--,7,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gabriel,http://ufcstats.com/fighter-details/db3c4a884d704efe,--,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dan,http://ufcstats.com/fighter-details/e4ba58725825412d,"68.0""",9,3,0,2.48,43.0,3.44,50.0,4.36,35.0,55.0,1.4,
